code_creation_date,integration_release_date,code_id,channel,spend,signed_up_users,signed_up_users_1_month,signed_up_users_3_month,cac,cac_1_month,cac_3_month,paying_users,profit_actual_by_paid,ROAS,ROAS_6
"1 July, 2021",,1,telegram_bloggers,"107,000",138,117,138,775,914.53,775.36,131,"987,745",923%,923.00%
"2 July, 2021",,2,instagram_bloggers,"11,400",4,4,4,"2,850","2,850","2,850",3,"4,443",39%,39.00%
"4 July, 2021",,3,youtube_bloggers,"100,000",115,98,115,870,"1,020.41",869.57,99,"535,270",535%,535.00%
"5 July, 2021",,4,instagram_bloggers,"27,500",10,10,10,"2,750","2,750","2,750",10,"44,634",162%,162.00%
"5 July, 2021",,5,telegram_bloggers,"10,600",4,4,4,"2,650","2,650","2,650",4,"51,496",486%,486.00%
"6 July, 2021",,6,instagram_bloggers,"167,000",14,13,14,"11,929","12,846.15","11,928.57",12,"74,392",45%,45.00%
"6 July, 2021",,7,youtube_bloggers,"35,000",13,11,13,"2,692","3,181.82","2,692.31",13,"45,787",131%,131.00%
"8 July, 2021",,8,youtube_bloggers,"12,720",17,13,17,748,978.46,748.24,15,"60,431",475%,475.00%
"8 July, 2021",,9,instagram_bloggers,"31,800",11,10,11,"2,891","3,180","2,890.91",10,"73,111",230%,230.00%
"11 July, 2021",,10,instagram_bloggers,"42,400",24,24,24,"1,767","1,766.67","1,766.67",23,"122,799",290%,290.00%
"12 July, 2021",,11,instagram_bloggers,"68,000",29,28,29,"2,345","2,428.57","2,344.83",27,"211,003",310%,310.00%
"12 July, 2021",,12,tiktok_bloggers,"34,567",10,8,9,"3,457","4,320.88","3,840.78",10,"34,231",99%,99.00%
"12 July, 2021",,13,telegram_bloggers,"90,000",35,35,35,"2,571","2,571.43","2,571.43",34,"152,555",170%,170.00%
"12 July, 2021",,14,youtube_bloggers,"374,500",52,42,48,"7,202","8,916.67","7,802.08",47,"204,067",54%,54.00%
"12 July, 2021",,15,youtube_bloggers,"106,000",47,26,41,"2,255","4,076.92","2,585.37",35,"192,379",181%,181.00%
"13 July, 2021",,16,instagram_bloggers,"20,000",6,5,6,"3,333","4,000","3,333.33",5,"47,444",237%,237.00%
"13 July, 2021",,17,youtube_bloggers,"290,000",15,12,14,"19,333","24,166.67","20,714.29",12,"111,221",38%,38.00%
"13 July, 2021",,18,instagram_bloggers,"27,500",10,8,10,"2,750","3,437.5","2,750",9,"55,616",202%,202.00%
"13 July, 2021",,19,youtube_bloggers,"21,200",25,25,25,848,848,848,22,"112,950",533%,533.00%
"14 July, 2021",,20,instagram_bloggers,"50,000",33,28,32,"1,515","1,785.71","1,562.5",30,"133,490",267%,267.00%
"15 July, 2021",,21,youtube_bloggers,"14,400",12,12,12,"1,200","1,200","1,200",10,"50,517",351%,351.00%
"15 July, 2021",,22,youtube_bloggers,"15,000",3,3,3,"5,000","5,000","5,000",3,"2,215",15%,15.00%
"19 July, 2021",,23,instagram_bloggers,"27,560",8,7,8,"3,445","3,937.14","3,445",8,"29,899",108%,108.00%
"20 July, 2021",,24,youtube_bloggers,"170,000",48,31,43,"3,542","5,483.87","3,953.49",47,"351,085",207%,207.00%
"22 July, 2021",,25,youtube_bloggers,"150,000",128,120,128,"1,172","1,250","1,171.88",119,"719,981",480%,480.00%
"22 July, 2021",,26,tiktok_bloggers,"35,000",9,8,9,"3,889","4,375","3,888.89",9,"112,716",322%,322.00%
"22 July, 2021",,27,youtube_bloggers,"100,000",94,68,94,"1,064","1,470.59","1,063.83",88,"547,569",548%,548.00%
"23 July, 2021",,28,telegram_bloggers,"47,700",23,19,23,"2,074","2,510.53","2,073.91",22,"82,701",173%,173.00%
"24 July, 2021",,29,tiktok_bloggers,"51,852",1,0,1,"51,852",0,"51,852",1,855,2%,2.00%
"24 July, 2021",,30,instagram_bloggers,"54,500",3,3,3,"18,167","18,166.67","18,166.67",3,"6,110",11%,11.00%
"26 July, 2021",,31,instagram_bloggers,"46,630",28,28,28,"1,665","1,665.36","1,665.36",28,"164,671",353%,353.00%
"26 July, 2021",,32,instagram_bloggers,"216,000",7,4,6,"30,857","54,000","36,000",7,"42,200",20%,20.00%
"26 July, 2021",,33,instagram_bloggers,"82,000",2,2,2,"41,000","41,000","41,000",2,"18,282",22%,22.00%
"27 July, 2021",,34,youtube_bloggers,"50,000",18,16,18,"2,778","3,125","2,777.78",17,"132,460",265%,265.00%
"27 July, 2021",,35,telegram_bloggers,"24,000",4,4,4,"6,000","6,000","6,000",4,"84,587",352%,352.00%
"28 July, 2021",,36,instagram_bloggers,"15,900",8,6,7,"1,988","2,650","2,271.43",8,"49,507",311%,311.00%
"28 July, 2021",,37,tiktok_bloggers,"34,567",25,21,25,"1,383","1,646.05","1,382.68",22,"63,595",184%,184.00%
"28 July, 2021",,38,youtube_bloggers,"124,200",53,50,53,"2,343","2,484","2,343.4",48,"285,418",230%,230.00%
"30 July, 2021","31 July, 2021",39,youtube_bloggers,"111,300",76,76,76,"1,464","1,464.47","1,464.47",71,"386,831",348%,348.00%
"30 July, 2021",,40,youtube_bloggers,"110,000",17,14,15,"6,471","7,857.14","7,333.33",17,"83,904",76%,76.00%
